sample,total reads,after filtering barcode,after trimming,uniquely aligned reads,After remove duplicates
A01, 181308, 138873, 118063, 58646,51186
A02, 255365, 131285, 98937, 31471,24930
A03, 9570978, 7562587, 6839350, 4645579,1503451
A04, 672251, 409394, 330917, 155460,82094
A05, 581425, 289007, 220115, 77134,57262
A06, 856780, 448628, 336268, 112986,87440
A07, 7888059, 6227138, 5664408, 3846273,1079399
A08, 1564126, 1075502, 884339, 444101,137671
A09, 1097900, 870000, 795951, 535476,372180
A10, 789777, 509291, 451556, 283446,192009
B01, 2728618, 2186415, 1818425, 1058916,608354
B02, 2336458, 1727946, 1542486, 866704,398020
B03, 8539478, 6742615, 6112897, 4247892,1414172
B04, 2409414, 1780279, 1597106, 1119197,474237
B05, 6384430, 5146576, 4733690, 3388404,1350841
B06, 8877546, 7279535, 6664200, 4228296,1634709
B07, 3092176, 2296400, 2043750, 1186377,448932
B08, 832851, 466807, 340198, 101262,62253
B09, 168919, 97010, 80385, 35813,32322
B10, 1052539, 615736, 537812, 329868,232831
C01, 7454704, 6179583, 5255906, 3120234,888898
C02, 3665617, 2790370, 2516972, 1528974,756878
C03, 2688646, 1891946, 1638605, 1039251,461797
C04, 5153585, 4152334, 3768405, 2384928,902053
C05, 2568870, 1905309, 1713449, 1161345,477944
C06, 10724986, 8544890, 7826553, 4969514,1652930
C07, 8263436, 6481134, 5848232, 2795261,868848
C08, 793517, 506847, 425108, 230755,113924
C09, 932580, 701949, 632074, 407852,274496
C10, 2182302, 1464161, 1313526, 884393,577871
D01, 2409683, 1865901, 1482354, 890555,305769
D02, 1192398, 883103, 779303, 440543,236105
D03, 13757942, 11161862, 10068523, 6494585,2107918
D04, 3449266, 2654368, 2372126, 1501231,583539
D05, 958720, 509092, 400960, 168086,138633
D06, 6476437, 5266184, 4779753, 3278386,1061796
D07, 7586660, 6032500, 5479129, 3720136,1138927
D08, 2017762, 1522890, 1345837, 912842,370419
D09, 853021, 636446, 571178, 339510,237240
D10, 1140783, 702347, 613586, 381690,254674
E01, 3815174, 3111920, 2595330, 1536517,502278
E02, 322647, 185696, 143605, 49881,42500
E03, 5753871, 4515341, 4044407, 2516541,979226
E04, 2089379, 1586410, 1407167, 719083,362920
E05, 7268744, 6038266, 5561335, 3458115,1494155
E06, 1000173, 587313, 469909, 199937,165811
E07, 4864057, 3840696, 3469880, 2136083,781332
E08, 2884457, 2176427, 1903962, 1014586,336606
E09, 1180056, 912792, 829978, 541921,390219
E10, 211004, 87229, 69020, 22400,20617
F01, 6291858, 5224280, 4412677, 2700785,910028
F02, 2458522, 1890802, 1730852, 1166074,670069
F03, 3998117, 2941729, 2568208, 1359292,569933
F04, 5430060, 4391111, 4019497, 2852660,1232827
F05, 4716547, 3848809, 3521790, 1847717,855685
F06, 6843256, 5661842, 5158494, 2557531,1048095
F07, 5747333, 4500212, 4058992, 2401995,838422
F08, 3352906, 2669492, 2384972, 1443560,552872
F09, 1237215, 993756, 902945, 548840,393238
F10, 514726, 304187, 264791, 160505,117693
G01, 1453907, 1147301, 917365, 440889,198343
G02, 1106956, 772212, 685462, 451642,255093
G03, 1220416, 668633, 505090, 211885,163640
G04, 1858592, 1400623, 1241653, 759431,340070
G05, 1163126, 779057, 666417, 367272,198887
G06, 975069, 543226, 434133, 198680,158622
G07, 1115986, 640705, 491270, 211522,163654
G08, 404221, 219745, 176954, 83042,69564
G09, 830103, 653116, 587783, 375852,266200
G10, 293241, 106476, 78068, 28348,25587
H01, 2379813, 1927795, 1612636, 937719,324173
H02, 1590526, 1214935, 1100934, 766257,383845
H03, 3412463, 2372296, 2025666, 1163840,457192
H04, 2340615, 1624409, 1420673, 876198,364145
H05, 8111413, 6350573, 5825547, 3696507,1225215
H06, 16928734, 13361001, 12374124, 8592489,2737421
H07, 15765568, 12367712, 11292322, 8120270,2217988
H08, 1707588, 1080198, 886617, 453825,159713
H09, 1251174, 955605, 843226, 441315,293036
H10, 621819, 296093, 242384, 125188,91581
