sample,total reads,after filtering barcode,after trimming,uniquely aligned reads,After remove duplicates
A01, 967228, 812273, 783402, 498470,120256
A02, 507313, 426031, 420961, 279633,118055
A03, 534791, 455099, 449913, 293667,124027
A04, 349191, 294138, 289301, 188698,90192
A05, 2060041, 1721872, 1707012, 1242385,472288
A06, 925090, 772512, 765691, 541481,234013
A07, 592254, 483401, 478172, 351774,127115
A08, 852340, 686217, 681304, 485816,211902
A09, 1504267, 1271750, 1262200, 919246,351410
A10, 126251, 100569, 96618, 66294,30829
A11, 857985, 696912, 688596, 498400,153646
A12, 145348, 116068, 112328, 73643,24329
B01, 461818, 373711, 366957, 253804,92320
B02, 199149, 154584, 151480, 107479,45327
B03, 557003, 457703, 450657, 300256,129440
B04, 848230, 683381, 676550, 481343,211700
B05, 1937756, 1574440, 1561678, 1092211,434250
B06, 1403002, 1165219, 1154918, 818921,276221
B07, 1102155, 907675, 897891, 659144,256801
B08, 701034, 568576, 563592, 405152,172081
B09, 129214, 94933, 92197, 62534,26504
B10, 786898, 648166, 641544, 453824,182707
B11, 580191, 469636, 464416, 347654,125668
B12, 77644, 62268, 61497, 44977,17309
C01, 207409, 168344, 166382, 118242,45448
C02, 58887, 45842, 44895, 31749,14341
C03, 419476, 348678, 343805, 234975,104494
C04, 194694, 162253, 160635, 107594,53187
C05, 480646, 398940, 394309, 267353,119338
C06, 198334, 163769, 161948, 112136,57921
C07, 231313, 186034, 183266, 133150,52774
C08, 298909, 243424, 240381, 170840,75543
C09, 538838, 428230, 424624, 315277,127463
C10, 478119, 373097, 369160, 260085,107859
C11, 321147, 262344, 260065, 192438,101786
C12, 92112, 75052, 74279, 50660,23455
D01, 163610, 136978, 135114, 94137,41379
D02, 23020, 16618, 15799, 11413,4702
D03, 136467, 112328, 110041, 76322,32520
D04, 338080, 278144, 274344, 183536,83513
D05, 153076, 122798, 120743, 82892,37507
D06, 135700, 108805, 106258, 75258,30099
D07, 90555, 69202, 68328, 50065,22801
D08, 258050, 209574, 206838, 145465,61687
D09, 197130, 158710, 156567, 113662,48784
D10, 196520, 156003, 154267, 112929,43685
D11, 146872, 121935, 120836, 88309,41972
D12, 15784, 11518, 11095, 7336,4344
E01, 84952, 64126, 62975, 44103,20564
E02, 61803, 48565, 47717, 36634,17131
E03, 39171, 30234, 29150, 19890,8773
E04, 44614, 35643, 34900, 23702,12515
E05, 56843, 44596, 43375, 31424,14515
E06, 27974, 21918, 21425, 15280,8384
E07, 229836, 186957, 184199, 125353,52563
E08, 102068, 82476, 80500, 55636,25391
E09, 222778, 179982, 177763, 127474,63117
E10, 92758, 75573, 74668, 52342,21158
E11, 44212, 33816, 32693, 23059,9617
E12, 62455, 48593, 46818, 32165,16152
F01, 184148, 144229, 141991, 103475,44837
F02, 678142, 553621, 548633, 404410,169992
F03, 79178, 63233, 61919, 43178,18400
F04, 99788, 80315, 78860, 55652,24517
F05, 77373, 61183, 58796, 37221,15627
F06, 55512, 44713, 43303, 28197,12943
F07, 64870, 49845, 48177, 34019,14453
F08, 650992, 548699, 542083, 375790,155363
F09, 199352, 160244, 158886, 116259,48413
F10, 631087, 520198, 515080, 363420,134308
F11, 458287, 375864, 370316, 257278,121627
F12, 44375, 34544, 33222, 21718,9448
G01, 209158, 167787, 165159, 120095,43642
G02, 298660, 239009, 235361, 160716,77809
G03, 270910, 218719, 214730, 146202,72747
G04, 82757, 64697, 63379, 45469,22916
G05, 24516, 18762, 17883, 12144,5359
G06, 43276, 32758, 31833, 23028,10948
G07, 168500, 136140, 134264, 97610,43310
G08, 123474, 102225, 100410, 71621,33903
G09, 169541, 132172, 129757, 91675,41028
G10, 117964, 97427, 95602, 65845,30817
G11, 94949, 75607, 73902, 51014,26206
G12, 10398, 4992, 3383, 1326,827
H01, 550767, 447977, 441782, 316016,98077
H02, 502484, 404734, 397367, 273447,99002
H03, 175223, 137849, 136124, 0,0
H04, 64097, 48348, 47277, 34677,15488
H05, 165571, 135738, 133200, 91015,39243
H06, 104150, 84045, 82750, 58289,25431
H07, 321042, 264474, 261396, 180675,72825
H08, 207161, 167194, 164236, 114341,47653
H09, 234773, 189665, 187245, 133390,58904
H10, 262167, 215947, 212481, 139970,56147
H11, 344641, 265700, 258513, 177726,59920
H12, 698166, 282972, 264447, 144154,55157
