sample,total reads,after filtering barcode,after trimming,uniquely aligned reads,After remove duplicates
A01, 9651, 3620, 3190, 2125,1057
A02, 113362, 58149, 54782, 46334,1166
A03, 53733, 24880, 23661, 20159,713
A04, 68, 0, 0, 0,0
A05, 84131, 43848, 42184, 36435,1072
A06, 45020, 17835, 17299, 14978,681
A07, 149079, 54678, 52648, 44396,1288
A08, 26734, 9717, 9292, 7796,303
A09, 114809, 47349, 46476, 39137,1278
A10, 93372, 38557, 36642, 29675,1040
A11, 210366, 94574, 85638, 63454,1781
A12, 140274, 63679, 58638, 44404,1098
B01, 206, 8, 7, 5,5
B02, 78893, 33246, 32020, 27563,834
B03, 120878, 48872, 46550, 39498,1127
B04, 86394, 37567, 35649, 31729,856
B05, 71524, 23793, 23406, 20459,606
B06, 92469, 38767, 37975, 33039,1073
B07, 118496, 44047, 42977, 36602,1085
B08, 67953, 32473, 30568, 26371,816
B09, 89402, 32726, 31267, 25712,797
B10, 67583, 30779, 29729, 24706,820
B11, 100683, 40461, 39155, 30535,754
B12, 104052, 56000, 52497, 41690,947
C01, 122335, 45078, 43340, 35130,858
C02, 44919, 14033, 12927, 11380,387
C03, 43007, 18012, 16950, 14095,641
C04, 30060, 11400, 11071, 9545,342
C05, 61313, 26742, 25480, 22164,730
C06, 14821, 5557, 5341, 4672,279
C07, 49460, 21347, 20459, 17278,633
C08, 33075, 12824, 12473, 10750,392
C09, 56501, 25747, 24205, 21356,788
C10, 50012, 22800, 22413, 18455,624
C11, 41043, 16903, 16694, 13925,479
C12, 57657, 26322, 25250, 20770,635
D01, 91181, 32291, 30405, 25701,1018
D02, 114536, 49315, 47889, 39307,1133
D03, 102649, 41854, 40095, 35007,851
D04, 37333, 15294, 14470, 12013,372
D05, 75276, 39038, 37966, 32421,852
D06, 50407, 19283, 18852, 16411,474
D07, 133042, 60403, 58149, 50705,1476
D08, 84343, 35707, 34355, 30856,914
D09, 123440, 60365, 59080, 52638,1409
D10, 37561, 15352, 14864, 12281,420
D11, 73306, 35000, 34056, 28199,789
D12, 100836, 49063, 47389, 38497,993
E01, 50696, 21063, 20529, 17198,555
E02, 21499, 8216, 7746, 6834,288
E03, 27351, 10155, 9915, 8566,215
E04, 21795, 9709, 9371, 7665,355
E05, 136, 30, 30, 21,20
E06, 16515, 7408, 7208, 6574,250
E07, 30494, 12409, 12165, 10869,323
E08, 20473, 7265, 7034, 6067,227
E09, 26026, 11149, 10820, 9406,306
E10, 28041, 14622, 14288, 12498,365
E11, 47189, 27175, 26124, 23230,531
E12, 17422, 8972, 8442, 6845,305
F01, 102030, 47366, 45352, 40047,852
F02, 62691, 28660, 27634, 23634,734
F03, 51321, 26413, 25705, 22988,690
F04, 36591, 18302, 17514, 14841,438
F05, 149349, 76319, 74154, 66007,1625
F06, 71806, 37437, 36444, 32005,1208
F07, 76213, 37558, 36465, 32666,815
F08, 41938, 21057, 20191, 17598,596
F09, 68738, 36022, 34997, 31650,683
F10, 54933, 29158, 28729, 24889,908
F11, 82524, 45336, 43640, 39346,1233
F12, 100665, 53344, 50649, 43573,1109
G01, 93848, 31817, 29734, 25985,480
G02, 50177, 23109, 22709, 20266,416
G03, 47254, 17681, 17472, 14739,390
G04, 31658, 14106, 13736, 12071,334
G05, 78831, 39416, 38739, 35557,791
G06, 45302, 22552, 22084, 19899,690
G07, 51679, 21378, 20461, 17669,448
G08, 30115, 12478, 11941, 10551,304
G09, 51331, 23358, 22712, 20748,540
G10, 49092, 22420, 21609, 18820,581
G11, 110174, 54408, 52027, 43527,929
G12, 176875, 101511, 95920, 80451,1965
H01, 323763, 102174, 87648, 65692,1228
H02, 125467, 64517, 61647, 51503,1070
H03, 81812, 34023, 32483, 27292,562
H04, 21624, 11698, 11536, 10708,234
H05, 76321, 29112, 28298, 23725,688
H06, 106057, 53414, 52233, 47630,1194
H07, 93248, 44428, 43598, 38374,845
H08, 57396, 26226, 25586, 22910,645
H09, 53094, 25384, 24811, 22423,512
H10, 71386, 37910, 37202, 34599,857
H11, 93482, 49739, 47517, 37628,783
H12, 125353, 65207, 58556, 47013,819
